stop_id,stop_name,stop_lat,stop_lon
ST_17548,"Pardubice, Dražkovice",50.000355,15.771894
ST_17549,"Pardubice, Semtín, hl. brána",50.061123,15.728551
ST_17550,"Pardubice, Semtín, železniční zastávka",50.062008,15.744069
ST_17551,"Pardubice, Trnová, křižovatka",50.058334,15.757748
ST_19288,"Ráby, Perníková chaloupka",50.078419,15.804346
ST_19289,"Ráby, prodejna",50.074757,15.803377
ST_19290,"Ráby, křižovatka",50.070621,15.801997
ST_19291,"Ráby, Kunětická hora",50.082172,15.805010
ST_20095,"Rybitví, Uma",50.062820,15.710722
ST_20096,"Rybitví, závod",50.059860,15.715606
ST_20619,"Sezemice, pošta",50.066284,15.852685
ST_20620,"Sezemice, Havlíčkova",50.064892,15.853256
ST_20621,"Sezemice, zámostí",50.060005,15.848738
ST_20623,"Sezemice, Kladina",50.062050,15.875045
ST_20624,"Sezemice, Malé Koloděje",50.045223,15.871424
ST_20626,"Sezemice, Velké Koloděje",50.052452,15.876061
ST_20627,"Sezemice, Lukovna",50.079487,15.843596
ST_20628,"Sezemice, Počaply, Chalupy",50.055958,15.837137
ST_20629,"Sezemice, Veská, Dětské centrum",50.038368,15.862868
ST_21318,"Srch, ObÚ",50.085205,15.762736
ST_21460,"Staré Hradiště, hostinec",50.063541,15.775986
ST_21461,"Staré Hradiště, ObÚ",50.065063,15.774838
ST_21462,"Staré Hradiště, Psinek",50.066715,15.783481
ST_21463,"Staré Hradiště, Na Hledíku",50.063026,15.766391
ST_21464,"Staré Hradiště, Brozany",50.064938,15.796687
ST_21465,"Staré Hradiště, Hradiště na Písku",50.079052,15.781040
ST_21472,Staré Jesenčany,49.998745,15.755045
ST_21584,"Starý Mateřov, náves",50.001797,15.715881
ST_21585,"Starý Mateřov, odbočka",50.001881,15.708724
ST_23606,Třebosice,49.997131,15.734846
ST_24557,"Valy, Pardubická",50.029865,15.617761
ST_26872,Časy,50.069313,15.898479
ST_29276,"Pardubice, nemocnice",50.029404,15.790276
ST_29315,"Pardubice, Staré Čívice, Panasonic",50.019981,15.687099
ST_29540,"Pardubice, Masarykovo náměstí",50.037560,15.769532
ST_29999,"Srch, točna",50.082996,15.772925
ST_30047,"Albrechtice, Pardubice",49.774361,18.538340
ST_30876,"Pardubice, Staré Čívice, Průmyslová zóna",50.027786,15.680767
ST_31071,"Dašice, Malolánské",50.032925,15.871942
ST_31074,"Dašice, Zminný",50.028328,15.866165
ST_31736,"Sezemice, Počaply, rozc.",50.065514,15.833879
ST_31737,"Sezemice, Počaply, točna",50.068356,15.830713
ST_31925,Pardubice hlavní nádraží,50.031670,15.757556
ST_31927,Pardubice-Opočínek,50.030434,15.669647
ST_31929,Pardubice-Svítkov,50.031864,15.722617
ST_31931,Pardubice-Pardubičky,50.031212,15.788895
ST_31932,Pardubice centrum,50.031647,15.772532
ST_31934,Kostěnice,50.012833,15.897656
ST_31937,Pardubice-Černá za Bory,50.027447,15.830425
ST_32186,Pardubice-Rosice nad Labem,50.045429,15.742853
ST_32189,Pardubice závodiště,50.024296,15.751037
ST_32813,Pardubice-Semtín,50.061909,15.748196
ST_33500,"Sezemice, Severní",50.070843,15.858445
ST_33856,"Sezemice, Veská, most",50.040558,15.857467
ST_34111,"Přelouč, Pardubická-centrum",50.038296,15.557784
ST_34855,"Pardubice, Černá za Bory, silo",50.027023,15.812164
ST_34856,"Pardubice, Staré Čívice, JTEKT",50.023499,15.685452
ST_34857,"Pardubice, Staré Čívice, KYB",50.024529,15.681364
ST_34858,"Pardubice, Nemošice, škola",50.011246,15.796309
ST_34859,"Dašice, Pod Dubem",50.026802,15.854953
ST_34873,"Starý Mateřov, točna",50.001205,15.723778
ST_34874,"Pardubice, Pardubičky, točna",50.025249,15.792977
ST_34875,"Pardubice, ERA Zámeček",50.025707,15.803069
ST_35054,"Pardubice, Hlaváčova",50.031715,15.775303
ST_35963,"Sezemice, škola",50.063370,15.857180
ST_36024,"Choltice, Pardubická",49.988834,15.624035
ST_36274,"Úvaly, náměstí Arnošta z Pardubic",50.073662,14.729864
ST_36324,"Ostřešany, hřiště",49.998501,15.798568
ST_38504,"Dubany, V alejích",49.991951,15.719412
ST_44854,"Úvaly,Náměstí Arnošta z Pardubic",50.073730,14.730288
